uid,entertainment,education,dining,park,shopping,metro_station,library,financial
66,17,16,10,3,78,3,3,3
26,1,6,6,0,53,0,0,1
20,2,3,5,1,26,0,0,0
21,2,5,5,0,44,0,0,0
22,3,6,7,1,45,0,1,0
23,1,8,6,1,91,0,1,2
4,16,15,13,2,82,2,3,4
8,11,13,5,2,34,3,2,1
59,0,11,1,0,47,0,0,1
58,2,11,0,1,27,0,0,1
55,2,18,0,1,29,0,0,3
54,2,14,0,1,8,0,0,3
56,3,14,1,0,70,0,0,2
51,3,6,0,1,40,0,0,2
50,11,2,21,0,37,0,0,2
53,2,16,0,0,15,0,0,2
81,4,2,19,2,25,0,0,3
3,15,16,12,2,87,3,4,4
7,8,6,2,1,10,2,2,1
33,2,8,25,2,53,1,0,1
32,3,9,23,0,78,0,0,5
31,5,7,20,1,84,0,0,6
30,5,6,17,1,80,0,0,5
36,2,7,27,2,30,1,0,1
34,2,7,22,2,23,1,0,0
60,1,10,1,0,62,0,0,1
62,1,8,0,0,30,0,0,0
63,1,9,0,0,35,0,0,1
64,1,10,0,0,44,0,0,1
65,13,12,11,1,80,2,4,4
67,13,11,11,5,67,2,3,2
68,3,3,7,5,14,1,0,0
69,2,3,8,4,20,0,0,0
2,6,6,3,3,45,0,2,1
6,8,15,10,0,46,2,2,3
10,4,6,7,2,10,1,0,0
13,2,5,7,2,23,0,0,0
12,2,4,10,5,22,0,0,0
15,0,1,1,2,6,0,0,0
14,2,8,7,2,22,0,0,0
16,0,1,1,2,1,0,0,0
19,2,7,7,2,65,0,1,2
18,1,6,6,1,46,0,0,2
48,9,2,23,3,42,0,0,2
49,10,1,14,1,26,0,0,0
47,4,0,13,3,7,0,0,0
44,0,2,3,2,3,0,0,0
45,0,1,5,2,7,0,0,0
42,3,8,24,2,40,1,0,1
43,2,10,17,1,41,0,0,1
41,1,5,22,3,42,1,0,2
1,6,6,3,3,41,0,2,1
9,16,12,10,5,44,3,3,1
77,8,2,23,4,42,0,0,3
75,4,2,4,0,33,0,0,1
74,2,3,5,0,31,0,0,0
73,2,6,6,0,62,0,1,1
79,1,0,0,0,1,0,0,0
217,1,3,0,2,24,0,1,1
215,8,10,4,1,33,2,2,1
210,12,13,9,1,56,2,3,3
165,1,12,1,0,76,0,0,1
219,6,3,2,3,38,0,1,1
133,2,6,7,0,33,0,0,0
132,1,7,3,0,79,0,1,2
131,1,6,4,0,88,0,1,2
134,1,5,7,0,0,0,0,0
139,2,5,6,4,19,0,0,0
138,2,7,8,4,23,0,0,0
166,2,13,1,0,79,0,0,1
160,2,2,11,4,2,0,0,0
161,3,1,10,4,2,0,0,0
163,2,3,7,0,21,0,0,0
285,0,0,0,0,0,0,0,0
119,0,2,10,1,3,0,0,0
120,2,7,3,0,83,0,1,2
121,1,9,4,0,83,0,1,2
123,2,8,8,1,88,0,1,2
124,0,11,6,1,57,0,1,2
126,1,7,5,2,44,0,0,2
127,1,6,6,2,45,0,0,2
128,2,4,5,1,34,0,0,0
129,2,5,6,1,64,0,1,2
167,2,11,1,0,73,0,0,1
299,0,0,0,0,4,0,2,0
290,0,0,0,1,4,0,0,0
164,2,13,1,0,74,0,0,2
179,1,12,0,0,15,0,0,2
195,1,15,1,0,73,0,0,2
194,1,11,1,0,74,0,0,1
197,0,13,1,0,69,0,0,2
178,3,15,0,1,44,0,0,4
190,1,14,0,0,12,0,0,3
193,1,9,1,0,68,0,0,0
192,1,9,1,0,71,0,0,1
227,12,12,10,2,79,1,4,3
88,3,5,21,1,47,0,0,3
89,1,5,22,1,42,1,0,1
112,0,6,3,0,27,0,0,0
87,3,2,19,0,45,0,0,2
84,7,2,24,2,44,0,0,3
85,3,2,22,0,39,0,0,2
198,1,10,1,0,62,0,0,1
256,1,2,7,2,13,1,0,0
206,12,11,10,1,64,2,3,3
226,8,6,7,5,34,1,1,1
177,1,12,0,1,6,0,0,3
247,0,2,0,0,12,0,0,0
255,0,1,1,0,12,0,0,1
225,13,12,9,2,82,1,2,3
102,2,11,25,1,79,0,0,3
103,4,9,17,1,80,0,0,4
101,2,11,24,1,73,1,0,2
107,4,5,13,1,72,0,0,5
104,0,10,6,1,48,0,1,2
105,6,10,18,0,84,0,0,5
252,2,3,2,0,33,0,0,0
205,9,10,9,1,65,1,1,3
223,13,9,6,4,75,1,2,2
175,2,8,0,0,15,0,0,0
174,1,14,0,1,6,0,0,3
173,2,15,1,0,54,0,0,1
172,2,16,1,0,51,0,0,2
170,2,17,1,0,72,0,0,4
222,8,5,3,4,43,0,2,1
181,3,6,0,1,39,0,0,1
253,0,1,1,0,12,0,0,1
248,0,2,0,0,14,0,0,0
182,3,8,0,1,42,0,0,1
162,3,1,9,2,2,0,0,0
184,17,14,8,3,73,3,3,3
220,5,3,5,4,37,0,0,1
186,2,16,0,0,23,0,0,2
188,2,15,0,0,19,0,0,2
189,2,12,0,0,10,0,0,3
202,2,3,3,0,23,0,2,2
196,1,17,1,0,72,0,0,2
221,12,7,8,5,35,2,2,0
99,3,10,30,2,40,1,0,2
98,2,8,27,2,30,1,0,1
168,3,13,1,0,72,0,0,2
169,1,12,1,0,82,0,0,1
229,2,3,5,5,12,0,0,0
228,6,7,6,2,55,0,2,2
91,2,7,25,1,41,1,0,1
90,1,5,25,1,41,1,0,1
92,2,6,25,2,42,1,0,1
95,3,8,28,2,37,1,0,1
94,3,10,28,2,46,1,0,1
97,2,6,21,2,25,1,0,0
250,0,2,0,0,15,0,0,0
116,4,4,20,1,58,0,0,4
204,6,9,8,1,65,1,1,3
224,17,15,11,4,81,3,4,3
153,3,3,20,2,47,0,0,3
152,5,2,24,2,36,0,0,3
155,1,2,5,1,11,0,0,0
154,0,2,7,2,3,0,0,0
157,0,2,4,1,3,0,0,0
158,0,2,6,1,3,0,0,0
207,14,13,10,1,76,2,3,4
203,2,7,7,0,59,0,2,3
145,0,4,2,3,9,0,0,0
143,2,7,6,3,27,0,0,0
140,2,6,6,4,23,0,0,0
141,3,3,2,0,32,0,0,0
209,14,16,13,1,77,2,3,4
208,12,10,9,1,76,1,4,3
149,4,2,17,2,25,0,0,2
263,0,1,0,0,4,0,0,0
261,0,2,0,0,13,0,0,0
267,2,2,2,1,26,0,0,0
233,0,0,0,0,0,0,0,0
180,3,9,0,0,43,0,0,3
329,0,7,2,2,8,0,0,0
330,4,3,29,3,37,0,0,3
171,2,21,1,0,63,0,0,4
83,3,2,21,2,31,0,0,3
40,3,3,23,0,35,0,0,3
38,3,5,21,1,45,0,0,3
113,7,6,16,1,96,0,0,6
39,3,3,20,0,45,0,0,3
176,1,14,0,1,6,0,0,3
244,0,1,0,0,3,0,0,0
246,0,1,0,0,7,0,0,0
293,0,0,0,0,0,0,0,0
257,0,1,2,0,19,0,0,1
70,2,7,7,4,23,0,0,0
201,0,0,0,0,4,0,1,0
337,0,1,0,1,3,0,0,1
338,0,1,0,0,3,0,0,0
304,0,0,0,1,3,0,0,0
336,1,8,0,0,17,0,0,0
340,3,6,0,1,37,0,0,1
343,0,5,0,0,13,0,0,0
342,2,5,7,1,67,0,1,2
314,0,10,0,0,10,0,0,3
347,3,1,19,2,23,0,0,3
339,0,4,0,0,13,0,0,0
295,4,2,19,2,45,0,0,2
313,3,9,31,2,45,1,0,1
352,0,3,0,3,14,0,0,0
351,14,15,11,4,84,2,4,4
305,11,11,10,1,72,1,1,3
349,0,4,2,3,29,0,0,2
350,4,3,7,4,19,1,0,0
353,1,13,0,1,5,0,0,3
357,3,5,0,0,37,0,0,0
356,3,14,0,1,39,0,0,4
354,3,10,0,1,39,0,0,3
355,0,2,0,1,3,0,0,1
362,0,1,1,2,4,0,0,0
361,0,4,0,0,5,0,0,0
364,0,11,0,0,10,0,0,3
366,0,6,0,0,13,0,0,0
367,3,12,1,0,72,0,0,1
363,0,1,0,0,11,0,0,0
372,0,12,6,1,57,0,1,2
373,0,8,4,0,68,0,1,2
71,5,8,19,1,82,0,0,6
287,0,0,0,1,0,0,0,0
148,8,2,23,3,38,0,0,3
111,6,7,20,1,85,0,0,6
28,4,8,21,1,63,0,0,4
150,2,1,17,2,14,0,0,1
46,2,2,9,4,3,0,0,0
262,0,1,0,0,5,0,0,0
375,2,15,1,0,68,0,0,2
376,0,0,0,0,9,0,0,0
374,3,7,5,1,85,0,1,2
377,0,2,0,1,3,0,0,0
25,1,7,4,0,70,0,1,2
379,2,6,6,2,64,0,1,2
370,6,5,21,1,90,0,0,5
24,3,9,12,1,79,0,1,1
52,0,9,0,0,9,0,0,4
82,6,2,19,2,31,0,0,3
383,0,4,0,0,8,0,0,0
369,0,1,1,0,9,0,0,1
381,0,3,0,1,3,0,0,0
382,0,10,1,0,48,0,0,1
185,16,8,9,3,29,3,2,1
100,2,8,22,2,32,1,0,1
384,3,4,0,0,34,0,0,1
76,9,1,15,2,20,0,0,0
93,10,2,23,1,36,0,0,3
371,14,10,10,5,46,3,3,1
183,9,14,7,1,37,2,2,3
200,1,2,0,0,6,0,2,0
360,0,5,0,0,7,0,0,1
365,1,11,1,0,79,0,0,1
61,1,8,1,0,73,0,0,1
391,0,0,0,1,9,0,0,0
404,7,7,20,1,86,0,0,6
358,1,11,1,0,35,0,0,1
125,0,7,5,1,51,0,1,2
122,1,10,6,1,68,0,1,2
254,2,7,7,0,55,0,2,3
232,1,6,0,1,11,0,0,1
187,2,16,0,0,27,0,0,3
378,1,9,0,1,6,0,0,3
416,1,10,1,0,51,0,0,1
389,2,6,5,3,48,0,0,2
146,9,2,19,1,25,0,0,1
96,2,5,19,1,18,1,0,0
11,4,6,4,2,8,1,0,0
137,2,7,7,4,21,0,0,0
17,2,6,6,4,22,0,0,2
442,1,6,6,0,35,0,0,0
421,2,6,8,3,24,0,0,0
142,2,3,5,4,16,0,0,0
264,0,2,0,0,2,0,0,0
241,0,2,0,0,12,0,0,0
240,0,2,0,0,12,0,0,0
235,0,1,1,0,11,0,0,1
234,0,1,1,0,10,0,0,1
237,0,1,1,0,12,0,0,1
238,0,1,1,0,12,0,0,0
236,0,1,1,0,12,0,0,1
239,0,2,0,0,11,0,0,0
242,0,1,0,0,4,0,0,0
259,0,0,0,0,0,0,0,0
260,0,0,0,1,0,0,0,0
271,0,1,0,0,2,0,0,0
78,1,0,0,0,1,0,0,0
231,1,0,0,0,1,0,0,0
230,1,0,0,0,1,0,0,0
80,0,0,0,0,0,0,0,0
439,1,13,0,1,5,0,0,3
118,2,2,15,0,37,0,0,1
57,2,14,1,0,56,0,0,2
117,4,2,17,1,45,0,0,3
345,0,0,0,1,3,0,0,0
114,7,5,21,1,103,0,0,6
109,4,6,15,1,76,0,0,5
159,2,2,11,2,2,0,0,0
37,3,7,28,2,39,1,0,1
86,4,2,19,0,43,0,0,2
27,1,4,10,0,2,0,0,0
214,11,15,7,2,46,3,2,2
212,16,17,13,1,77,2,3,4
213,15,17,10,1,55,3,3,3
344,5,9,21,0,84,0,0,5
136,2,6,6,4,26,0,0,0
5,17,17,12,1,80,3,3,4
346,0,3,1,3,9,0,0,0
35,1,7,19,1,20,1,0,0
